ID_Producto,Nombre,Categoria,Precio_MXN,Stock
1,Ultra Camiseta 5513,Juguetes,4544.62,399
2,Lite Reloj 2802,Deportes,9890.52,433
3,Max Zapatos 5516,Hogar,14829.34,456
4,Ultra Silla 4416,Ropa,7671.32,189
5,Smart Silla 1465,Ferretería,415.24,48
6,Mega Zapatos 8171,Deportes,13901.35,171
7,Smart Cámara 7499,Belleza,1343.28,75
8,Pro Reloj 910,Deportes,10515.14,132
9,Mega Monitor 5597,Hogar,2146.29,159
10,Super Zapatos 2875,Hogar,8159.02,174
11,Smart Mesa 8064,Hogar,5122.93,227
12,Max Cámara 1029,Alimentos,2074.16,331
13,Pro Camiseta 6824,Libros,5302.18,369
14,Lite Mochila 431,Hogar,10860.75,231
15,Super Mesa 8342,Alimentos,1445.59,466
16,Super Reloj 8539,Hogar,7410.51,309
17,Super Monitor 1934,Alimentos,13159.36,340
18,Eco TV 5925,Libros,4566.95,127
19,Super Camiseta 8629,Deportes,6011.18,116
20,Lite Mochila 1256,Electrónica,12913.81,200
21,Super Laptop 1136,Belleza,4999.47,469
22,Eco Camiseta 7369,Ferretería,7779.14,418
23,Super Zapatos 2063,Ropa,8753.53,303
24,Eco Reloj 5756,Electrónica,5474.1,77
25,Super Mesa 3732,Alimentos,2897.09,167
26,Eco Laptop 913,Electrónica,7460.7,339
27,Super Camiseta 3059,Belleza,1141.45,401
28,Ultra Monitor 1582,Alimentos,8789.21,328
29,Super Mesa 8854,Hogar,10274.69,368
30,Max Monitor 2612,Alimentos,4720.98,252
31,Lite Camiseta 4777,Deportes,8087.03,347
32,Smart Monitor 1483,Juguetes,3483.38,484
33,Pro Silla 5710,Juguetes,9769.82,313
34,Smart Reloj 9504,Hogar,7016.19,399
35,Mega Reloj 8618,Libros,1921.38,346
36,Eco Reloj 4442,Ferretería,13293.73,137
37,Lite Mochila 3133,Electrónica,3759.91,264
38,Pro Cámara 1729,Ropa,7821.53,153
39,Mega Camiseta 8947,Libros,14747.19,442
40,Pro Mesa 9237,Juguetes,12589.42,287
41,Max Reloj 7601,Ropa,5103.07,307
42,Lite TV 7677,Hogar,7633.57,116
43,Ultra Monitor 2664,Hogar,10920.96,33
44,Mega TV 1060,Electrónica,1776.36,24
45,Ultra Mochila 9323,Deportes,6541.08,496
46,Lite Monitor 2722,Deportes,9222.79,123
47,Lite Silla 5960,Ropa,3150.69,203
48,Ultra Mesa 4070,Deportes,11321.5,449
49,Mega Silla 3563,Hogar,12987.74,43
50,Pro Camiseta 4470,Belleza,5645.9,167
51,Eco Laptop 9278,Hogar,7921.74,41
52,Smart Laptop 5884,Ropa,4105.64,439
53,Pro Monitor 9002,Alimentos,7082.91,452
54,Smart Camiseta 7851,Libros,4475.09,362
55,Mega Laptop 7363,Ferretería,9936.49,406
56,Pro Zapatos 194,Hogar,14322.12,210
57,Max Monitor 5078,Electrónica,3331.76,133
58,Pro Mesa 248,Electrónica,13716.57,346
59,Mega Zapatos 8563,Belleza,9483.73,228
60,Ultra Mesa 208,Juguetes,10780.66,418
61,Mega Monitor 3718,Ferretería,2612.04,340
62,Smart Camiseta 2318,Libros,3428.12,422
63,Mega Cámara 7540,Deportes,5159.91,275
64,Lite Cámara 5855,Juguetes,598.3,234
65,Super Silla 6832,Juguetes,4335.78,441
66,Super Mochila 3785,Juguetes,13868.76,297
67,Lite Laptop 2612,Juguetes,8716.75,344
68,Lite Zapatos 9964,Belleza,2098.83,45
69,Ultra Reloj 809,Ferretería,2106.92,472
70,Pro Mesa 4615,Alimentos,7249.43,197
71,Eco Camiseta 8183,Juguetes,3535.75,285
72,Eco Reloj 3642,Belleza,7965.22,44
73,Ultra Mochila 7626,Ropa,11041.95,138
74,Super Laptop 9495,Juguetes,11444.57,484
75,Mega Mochila 6293,Ropa,6300.06,47
76,Mega Reloj 5449,Electrónica,6595.34,457
77,Lite TV 2647,Electrónica,7545.26,140
78,Smart Laptop 5983,Ferretería,1520.45,279
79,Smart Silla 5359,Ropa,1028.13,361
80,Mega Silla 7568,Alimentos,11908.31,7
81,Mega Zapatos 6679,Hogar,7966.15,413
82,Lite Cámara 1302,Ferretería,8645.08,156
83,Max TV 3738,Deportes,478.51,48
84,Mega TV 4843,Electrónica,1365.97,125
85,Super Laptop 6477,Belleza,4652.09,54
86,Super Camiseta 2560,Ferretería,7545.62,52
87,Pro Camiseta 9776,Juguetes,6172.34,59
88,Super Monitor 9580,Deportes,8085.83,115
89,Eco Reloj 6276,Belleza,8270.01,158
90,Ultra Camiseta 3300,Juguetes,1772.39,59
91,Lite Camiseta 2073,Electrónica,12436.3,168
92,Lite Mesa 9822,Deportes,12035.21,342
93,Eco TV 1577,Juguetes,5563.57,128
94,Ultra TV 1487,Libros,10437.22,135
95,Mega Camiseta 5430,Hogar,5751.1,376
96,Super Silla 6524,Alimentos,13552.21,498
97,Max Mochila 7752,Ropa,2032.22,185
98,Mega Silla 3492,Alimentos,12691.66,239
99,Pro Cámara 1619,Alimentos,627.93,106
100,Lite Reloj 9318,Hogar,2166.52,427
101,Mega Silla 2079,Juguetes,5012.18,237
102,Pro Monitor 5351,Ropa,14444.4,146
103,Ultra Mesa 4864,Electrónica,438.32,356
104,Max Silla 5801,Alimentos,4049.71,494
105,Smart Camiseta 1899,Libros,11980.9,227
106,Eco Camiseta 9042,Deportes,10479.98,77
107,Pro Silla 8830,Ferretería,12033.51,469
108,Lite Laptop 8265,Electrónica,12998.36,205
109,Ultra Monitor 762,Hogar,2888.51,200
110,Mega Monitor 289,Libros,7163.61,314
111,Eco Mesa 7609,Ferretería,4707.38,350
112,Pro Cámara 7545,Belleza,9474.38,436
113,Pro Laptop 9446,Libros,12975.17,186
114,Max Laptop 5451,Juguetes,11202.49,486
115,Mega TV 7187,Belleza,13124.58,265
116,Pro Monitor 9657,Electrónica,11650.96,50
117,Super Camiseta 5348,Ropa,9368.46,383
118,Lite TV 5210,Alimentos,13556.74,128
119,Super Monitor 3265,Hogar,2924.5,0
120,Smart Cámara 3174,Belleza,13345.32,294
121,Super Cámara 5432,Deportes,14582.5,217
122,Smart Laptop 2330,Libros,8970.42,315
123,Eco Monitor 6077,Deportes,9189.94,431
124,Ultra Monitor 8748,Ferretería,7534.01,302
125,Mega Silla 2279,Alimentos,2064.39,16
126,Ultra Reloj 1317,Electrónica,13365.57,92
127,Smart Mochila 9653,Deportes,14215.3,32
128,Mega Zapatos 4699,Deportes,659.23,132
129,Lite Cámara 1130,Alimentos,1075.41,18
130,Max Reloj 7525,Alimentos,9080.74,497
131,Lite Monitor 368,Juguetes,8224.36,261
132,Max Reloj 5490,Belleza,6243.96,404
133,Pro Silla 6829,Alimentos,1469.04,102
134,Max Reloj 6724,Hogar,10270.39,180
135,Super Mochila 7625,Electrónica,7495.23,149
136,Eco Camiseta 3038,Ferretería,14245.44,154
137,Max TV 1028,Ferretería,4265.59,485
138,Super Mesa 1084,Belleza,10168.11,496
139,Lite Mesa 4766,Hogar,5781.97,490
140,Ultra Monitor 3534,Juguetes,6040.69,86
141,Pro Cámara 3011,Libros,7609.86,344
142,Mega Mochila 6989,Hogar,1953.37,34
143,Pro Mesa 4012,Hogar,283.02,484
144,Eco Reloj 8612,Ropa,8710.96,492
145,Ultra Mochila 2777,Electrónica,10596.77,324
146,Eco Silla 1715,Belleza,12543.67,395
147,Lite Cámara 2233,Deportes,10037.68,153
148,Super Monitor 4127,Electrónica,8854.24,484
149,Super Silla 8850,Hogar,2465.72,401
150,Eco Zapatos 7310,Alimentos,3441.24,65
151,Pro TV 3985,Electrónica,14266.59,379
152,Eco Camiseta 3309,Ferretería,11018.85,43
153,Super Mochila 9697,Electrónica,7478.22,138
154,Max Camiseta 5724,Alimentos,8211.31,479
155,Max Reloj 1866,Deportes,13680.58,416
156,Max Laptop 9262,Deportes,6994.6,298
