ID_Producto,Nombre,Categoría,Subcategoría,Marca,Precio_MXN,Stock,Calificación
PROD-00001,Ciencia BrandA Modelo 70,Libros,Ciencia,BrandA,823.93,159,4.8
PROD-00002,Decoración BrandD Modelo 84,Hogar y Cocina,Decoración,BrandD,163.66,168,3.2
PROD-00003,Biografías PremiumCorp Modelo 90,Libros,Biografías,PremiumCorp,1064.3,45,4.2
PROD-00004,Muebles BrandC Modelo 69,Hogar y Cocina,Muebles,BrandC,1349.11,6,3.5
PROD-00005,Decoración BrandE Modelo 67,Hogar y Cocina,Decoración,BrandE,909.76,126,3.0
PROD-00006,Accesorios Auto BrandA Modelo 18,Automotriz,Accesorios Auto,BrandA,1218.55,237,3.2
PROD-00007,Running BrandF Modelo 39,Deportes,Running,BrandF,304.87,321,4.5
PROD-00008,Utensilios BrandF Modelo 67,Hogar y Cocina,Utensilios,BrandF,355.49,33,3.6
PROD-00009,Ciclismo BrandB Modelo 26,Deportes,Ciclismo,BrandB,840.63,218,3.6
PROD-00010,Perfumes BrandF Modelo 81,Belleza y Cuidado Personal,Perfumes,BrandF,488.32,277,4.2
PROD-00011,Decoración BrandE Modelo 81,Hogar y Cocina,Decoración,BrandE,483.74,256,4.9
PROD-00012,Ficción EcoLine Modelo 19,Libros,Ficción,EcoLine,1147.24,75,3.6
PROD-00013,Electrodomésticos EcoLine Modelo 87,Hogar y Cocina,Electrodomésticos,EcoLine,421.7,294,3.6
PROD-00014,Camping BrandD Modelo 92,Deportes,Camping,BrandD,828.7,123,4.6
PROD-00015,Skincare BrandE Modelo 96,Belleza y Cuidado Personal,Skincare,BrandE,1099.66,219,3.9
PROD-00016,No Ficción BrandA Modelo 51,Libros,No Ficción,BrandA,1085.92,87,4.0
PROD-00017,Bloques Essentials Modelo 85,Juguetes,Bloques,Essentials,265.99,115,3.1
PROD-00018,Audio Essentials Modelo 66,Electrónica,Audio,Essentials,1295.35,122,4.3
PROD-00019,Camping BrandC Modelo 93,Deportes,Camping,BrandC,845.69,328,5.0
PROD-00020,Juegos de Mesa BrandC Modelo 41,Juguetes,Juegos de Mesa,BrandC,464.93,124,3.3
PROD-00021,Muñecas PremiumCorp Modelo 84,Juguetes,Muñecas,PremiumCorp,222.02,19,4.2
PROD-00022,Accesorios BrandF Modelo 81,Electrónica,Accesorios,BrandF,1165.35,256,5.0
PROD-00023,Chaqueta BrandD Modelo 85,Ropa y Calzado,Chaqueta,BrandD,345.81,246,4.2
PROD-00024,Gimnasio BrandE Modelo 71,Deportes,Gimnasio,BrandE,1388.0,334,4.0
PROD-00025,Maquillaje Essentials Modelo 25,Belleza y Cuidado Personal,Maquillaje,Essentials,1241.2,326,4.2
PROD-00026,Bloques BrandF Modelo 92,Juguetes,Bloques,BrandF,981.92,327,3.0
PROD-00027,Running BrandE Modelo 73,Deportes,Running,BrandE,1179.6,28,3.5
PROD-00028,Limpieza BrandE Modelo 77,Automotriz,Limpieza,BrandE,1264.04,103,3.9
PROD-00029,Biografías BrandD Modelo 10,Libros,Biografías,BrandD,362.13,287,3.1
PROD-00030,Juegos de Mesa BrandF Modelo 93,Juguetes,Juegos de Mesa,BrandF,45.35,305,3.9
PROD-00031,Limpieza Essentials Modelo 18,Automotriz,Limpieza,Essentials,1287.39,201,4.6
PROD-00032,Gimnasio BrandC Modelo 40,Deportes,Gimnasio,BrandC,235.42,191,3.7
PROD-00033,Accesorios Auto BrandB Modelo 87,Automotriz,Accesorios Auto,BrandB,583.92,46,3.8
PROD-00034,Bloques BrandA Modelo 74,Juguetes,Bloques,BrandA,108.25,182,4.3
PROD-00035,Cabello BrandF Modelo 68,Belleza y Cuidado Personal,Cabello,BrandF,530.68,153,4.2
PROD-00036,Ciencia BrandB Modelo 96,Libros,Ciencia,BrandB,77.04,28,3.7
PROD-00037,Bloques PremiumCorp Modelo 89,Juguetes,Bloques,PremiumCorp,319.08,69,3.5
PROD-00038,Teléfonos BrandE Modelo 27,Electrónica,Teléfonos,BrandE,1356.44,154,3.8
PROD-00039,Running EcoLine Modelo 50,Deportes,Running,EcoLine,165.69,135,4.7
PROD-00040,Bloques BrandA Modelo 10,Juguetes,Bloques,BrandA,156.76,87,4.2
PROD-00041,Bloques BrandE Modelo 63,Juguetes,Bloques,BrandE,477.19,146,3.2
PROD-00042,Camisas BrandC Modelo 34,Ropa y Calzado,Camisas,BrandC,973.88,169,3.5
PROD-00043,Zapatos BrandF Modelo 44,Ropa y Calzado,Zapatos,BrandF,716.72,335,4.6
PROD-00044,Electrodomésticos BrandE Modelo 15,Hogar y Cocina,Electrodomésticos,BrandE,582.29,29,4.4
PROD-00045,Teléfonos BrandB Modelo 73,Electrónica,Teléfonos,BrandB,1374.54,326,3.4
PROD-00046,Maquillaje BrandE Modelo 51,Belleza y Cuidado Personal,Maquillaje,BrandE,1004.65,24,4.4
PROD-00047,Decoración PremiumCorp Modelo 96,Hogar y Cocina,Decoración,PremiumCorp,1260.79,85,3.8
PROD-00048,Electrodomésticos EcoLine Modelo 79,Hogar y Cocina,Electrodomésticos,EcoLine,431.92,308,3.4
PROD-00049,Utensilios EcoLine Modelo 11,Hogar y Cocina,Utensilios,EcoLine,412.87,156,3.2
PROD-00050,Camping BrandD Modelo 25,Deportes,Camping,BrandD,455.27,245,5.0
PROD-00051,Camisas BrandA Modelo 77,Ropa y Calzado,Camisas,BrandA,495.96,122,3.5
PROD-00052,Audio BrandF Modelo 43,Electrónica,Audio,BrandF,312.79,311,4.0
PROD-00053,Ciclismo BrandC Modelo 80,Deportes,Ciclismo,BrandC,1252.63,189,3.4
PROD-00054,Pantalones BrandD Modelo 72,Ropa y Calzado,Pantalones,BrandD,1403.32,289,3.8
PROD-00055,Camisas BrandC Modelo 45,Ropa y Calzado,Camisas,BrandC,580.28,75,5.0
PROD-00056,Biografías BrandD Modelo 90,Libros,Biografías,BrandD,1198.32,317,3.1
PROD-00057,Accesorios BrandE Modelo 99,Electrónica,Accesorios,BrandE,1011.46,180,4.4
PROD-00058,Ficción BrandD Modelo 62,Libros,Ficción,BrandD,23.63,82,4.3
